"Country","Sex","Age","Year","Variable","Prevalence or proportion","Lower limit of 95% credible interval","Upper limit of 95% credible interval","Posterior standard deviation"
"Bulgaria","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.407419008065296,0.268811113761962,0.555941620010808,0.0730597714042792
"Burkina Faso","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.316707268389764,0.209024077097372,0.432465904522927,0.0580698631338597
"Burundi","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.356373579319158,0.21625386450335,0.51520598119947,0.0765010190739851
"Cabo Verde","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.417051475779458,0.343714249541547,0.492322240533259,0.0384459491775186
"Cambodia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.253598003582375,0.152378200659447,0.375309620442453,0.0570134407010082
"Cameroon","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.385860942554512,0.27734877861138,0.506440980209426,0.0590269436517489
"Canada","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.199350502024685,0.160056114769042,0.243925076256802,0.0212614062745804
"Central African Republic","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.428128862910909,0.323333291097994,0.536246333379711,0.0548069998764143
"Chad","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.406602461261916,0.267868623083469,0.561355760210148,0.0756991845532268
"Chile","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.330712872639384,0.252575111914931,0.415062779610176,0.0411852180470394
"China","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.241376177769547,0.184200071013117,0.304127222880861,0.0304504930225362
"Colombia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.307781110062317,0.217642081200183,0.406375534866439,0.0478666730696852
"Comoros","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.361782161432582,0.246568702862355,0.492158157569376,0.0630360636224771
"Congo","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.414713909057632,0.255090371343465,0.58345488651071,0.0838115217084194
"Cook Islands","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.410684184821706,0.299466898421755,0.526347835413839,0.0574584295549164
"Costa Rica","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.393898810117754,0.296490400423709,0.489486035306188,0.0491946415999558
"Cote d'Ivoire","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.376059719592492,0.235679745839225,0.531221072407363,0.0747552747919243
"Croatia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.453393733051699,0.349508753588576,0.561934560164509,0.0538371082413606
"Cuba","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.394671555866948,0.274805811521443,0.528353693183987,0.0649370358927257
"Cyprus","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.260429387752066,0.157181352039703,0.39083831324676,0.0595699480824974
"Czech Republic","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.339730397522139,0.272821189216923,0.411651126933526,0.035454169093239
"Denmark","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.28598469465294,0.217207594737493,0.360391361593268,0.036590414416697
"Djibouti","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.358437642686737,0.214101189230562,0.515829323103347,0.0766369548083921
"Dominica","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.498595712662499,0.353532131179191,0.649165866451745,0.0747245462732356
"Dominican Republic","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.491902474858678,0.365301851380632,0.624272532741378,0.0669754883806785
"DR Congo","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.357267564969067,0.214624877148465,0.523133137565072,0.0798787759002144
"Ecuador","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.251225982036211,0.188553296520353,0.320851802314152,0.0334446277813267
"Egypt","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.407309002769339,0.33590052084654,0.483171952842292,0.0378547964975605
"El Salvador","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.336091655449074,0.24154405041463,0.43810508531222,0.0494411960773605
"Equatorial Guinea","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.398658800015233,0.234997942609498,0.583239138815496,0.0897481501769717
"Eritrea","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.246602043048727,0.14767037007841,0.366255776343086,0.0550096535837968
"Estonia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.341756256628133,0.235582838355315,0.461774258841613,0.0584628122585877
"Ethiopia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.300861783302213,0.20755649181323,0.405860044611819,0.0510864602973048
"Fiji","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.404787263113245,0.278326837433918,0.54054586711367,0.066892152826178
"Finland","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.306298060252374,0.241215823365509,0.374453735903035,0.0338469445440351
"France","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.244052064240089,0.177560574135796,0.320186430919077,0.0367626637783816
"French Polynesia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.415106233441103,0.286605839845336,0.552862441807033,0.0676612189091499
"Gabon","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.387099535444328,0.244402737909443,0.543360140479628,0.0765171356731554
"Gambia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.401896879242443,0.275315787925336,0.538385328902755,0.0677452473700478
"Georgia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.423400427281514,0.337142669652554,0.513556616269286,0.0445874767000743
"Germany","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.250239247108149,0.170371538971233,0.342401131323714,0.0437852947554803
"Ghana","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.361444051241603,0.266067888507999,0.463104282983062,0.0506969237408848
"Greece","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.261755158983839,0.203116164440656,0.32621200689639,0.0319311571136773
"Greenland","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.283592244407334,0.182880615121716,0.398916043576372,0.0553383878750946
"Grenada","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.455940751961095,0.330760234723106,0.587836751610147,0.0654778472832445
"Guatemala","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.326123914034224,0.228905890645327,0.440834220038148,0.0536002100320839
"Guinea","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.424661976186897,0.292881136037913,0.566776802044801,0.0698979548577665
"Guinea Bissau","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.396682619297552,0.249770632940726,0.561892921068559,0.0796977752719084
"Guyana","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.417663299182607,0.317861248107384,0.519309457945359,0.0503664234641781
"Haiti","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.478166702234386,0.385431120442767,0.573347801902184,0.0478414619922663
"Honduras","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.343994498060739,0.222130219658343,0.485190017136094,0.0679023223939437
"Hungary","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.408780549805961,0.275445579097505,0.559717794993127,0.0729752207575535
"Iceland","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.242105224320063,0.16701025402692,0.328361795090585,0.0409936625271276
"India","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.304532981970463,0.235391239149136,0.375934939791659,0.035084548958881
"Indonesia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.445023725479468,0.367858687917669,0.52643270044711,0.0406467506649741
"Iran","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.258486647933118,0.22485514526146,0.293151696180839,0.0175766348812599
"Iraq","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.477416691557697,0.372569494970579,0.582140807806111,0.0533356322329478
"Ireland","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.266025323630037,0.172617009845597,0.37653346778825,0.0518600923356033
"Israel","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.253164560367382,0.188934972722164,0.328261397198549,0.0349836957731272
"Italy","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.286215758879246,0.231126020502007,0.344941548360399,0.0291139343175224
"Jamaica","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.47848825256535,0.349022328976065,0.613820595809437,0.0675568107439425
"Japan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.224551471076667,0.187597397800414,0.264124317751729,0.019577554533257
"Jordan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.357335494541959,0.299237766334475,0.417319783737356,0.0298547219914148
"Kazakhstan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.425356487494859,0.348921190610902,0.503180308885309,0.0392529802805743
"Kenya","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.346793392616207,0.258348053694591,0.443186852658916,0.0474026079969227
"Kiribati","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.438277174655817,0.330629384164738,0.551806397989261,0.0569376474749806
"Kuwait","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.352361528177676,0.267872506802921,0.442949229071806,0.0446387642400822
"Kyrgyzstan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.432098042881359,0.33527736395521,0.536534546477466,0.0520848714388409
"Lao PDR","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.314371706401118,0.208642200314162,0.43372597366598,0.0579220239439767
"Latvia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.388900419640163,0.272539953448228,0.515720045560046,0.0620097990481745
"Lebanon","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.342104325758897,0.265389319662818,0.423939490987897,0.040367123325448
"Lesotho","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.46754013789845,0.358344900548709,0.577472362009326,0.055223139241879
"Liberia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.412761994987674,0.288258038153911,0.545485118735602,0.0658836930960039
"Libya","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.394456048325854,0.282443542940676,0.510057391991478,0.0578928423918102
"Lithuania","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.420342578542682,0.302035752123049,0.550101589353484,0.063490382744409
"Luxembourg","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.242117610114602,0.183816929630163,0.304394529407093,0.030766302900089
"Macedonia (TFYR)","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.407290678296805,0.273516801182868,0.557405652125453,0.0724635804546058
"Madagascar","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.389216020150452,0.249469923473568,0.541990870322503,0.0751780570469947
"Malawi","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.316215467987413,0.241811353260634,0.394172091393564,0.0381218074264576
"Malaysia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.409859390141525,0.313500347383163,0.505111269105845,0.0491137386914578
"Maldives","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.35420697830912,0.240022983035521,0.48226941179094,0.0626078310992973
"Mali","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.383134849304709,0.248360568830544,0.530550012949446,0.0714184027589823
"Malta","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.248330575743946,0.178524276548061,0.328949113157535,0.0382310363073829
"Marshall Islands","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.329179243378608,0.251551834007398,0.413960477356879,0.0414412034648374
"Mauritania","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.397437043102357,0.24647055297848,0.565591956469892,0.0801901472549438
"Mauritius","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.319508491955619,0.243526800782497,0.395338148434094,0.0389558521274531
"Mexico","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.313899810535658,0.258174536598424,0.371639773402196,0.0290179540388138
"Micronesia (Federated States of)","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.339437189720236,0.241044345624193,0.44366443343681,0.0517237320531555
"Moldova","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.468614717118967,0.353830800558173,0.585797673136066,0.0583998727131536
"Mongolia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.406762716305991,0.336318437484772,0.481113785274305,0.0371208676306636
"Montenegro","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.407732447062897,0.268620649766619,0.558319176291002,0.0735433343403666
"Morocco","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.356221686302054,0.276602825491547,0.441586568780793,0.0421038224436111
"Mozambique","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.418842127971306,0.31406877267677,0.530223425962302,0.0556540909083365
"Myanmar","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.400457798961251,0.297598195081508,0.509222293998359,0.0535132751855475
"Namibia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.447866256616643,0.323057703008854,0.578802638590125,0.0651737034134114
"Nauru","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.396940131669889,0.294274592440222,0.506812120468082,0.0538567240556259
"Nepal","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.339238668525281,0.283892792114023,0.397818462311136,0.0289060368025545
"Netherlands","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.248101196488959,0.180347772403877,0.322593066493604,0.0367454503147077
"New Zealand","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.276440335746594,0.213677280070023,0.343760321138322,0.0332436664696722
"Nicaragua","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.368680105934781,0.23326429391417,0.521411157605189,0.0734175256991444
"Niger","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.426198188389533,0.285317521039127,0.573809896556206,0.073914623942349
"Nigeria","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.390427103800661,0.31494339077598,0.47015832604406,0.0397833843775513
"Niue","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.397388928301614,0.273177298813734,0.531313633379257,0.0655072594928729
"North Korea","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.252228630729526,0.142341333485557,0.37947742178684,0.0607421229745367
"Norway","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.254925607484769,0.168242907190217,0.36048353198048,0.0490185336782333
"Occupied Palestinian Territory","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.373921345546319,0.269118197227115,0.491161560656148,0.0568013173795251
"Oman","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.387706898524781,0.305522500804116,0.472564713856771,0.0425916676511966
"Pakistan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.447514705207964,0.324019187070532,0.577074959654601,0.0648642827840724
"Palau","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.425194368394159,0.330207586968032,0.519022463809221,0.0483213513216288
"Panama","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.353047720885611,0.237644425781891,0.482036026008591,0.0620374604791287
"Papua New Guinea","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.300588703204186,0.172038534617068,0.45456017264614,0.0732110583821665
"Paraguay","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.50930293692502,0.37979763203331,0.641654957897261,0.0672728533053659
"Peru","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.184413525869436,0.153373747939087,0.218454048962582,0.0165805939429188
"Philippines","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.327828594127271,0.245336798584512,0.418781001118776,0.045077691049281
"Poland","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.426713467651895,0.354689486957186,0.501475653257327,0.0373560965046126
"Portugal","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.280118171648504,0.206543352031773,0.361534188718163,0.0398068476891609
"Puerto Rico","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.431649978066353,0.279656659916835,0.597099688298121,0.0801632968128053
"Qatar","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.376757616339757,0.27981482181788,0.4825270078264,0.0516471840641151
"Romania","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.439164590535401,0.351307409630838,0.527622099892622,0.0458955594643486
"Russian Federation","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.411569856355991,0.333470754491745,0.493045708882935,0.0407531616117495
"Rwanda","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.309420659071241,0.201048465135095,0.427893680147672,0.0583067572800391
"Saint Kitts and Nevis","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.450536286682092,0.307372248414331,0.596871805932775,0.0742027329202085
"Saint Lucia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.407856792795558,0.295156948733369,0.529665311362106,0.0599572770864801
"Saint Vincent and the Grenadines","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.415215216818327,0.310668080698772,0.523938157071138,0.0545312836321477
"Samoa","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.379137096900468,0.269629191990913,0.495201664598039,0.0580390434527134
"Sao Tome and Principe","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.480051197440825,0.397519741435838,0.565856488044502,0.0432597079378231
"Saudi Arabia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.301915263660673,0.214059507909659,0.400917944510682,0.0476286785144533
"Senegal","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.42942798411319,0.300833242869993,0.56290411730183,0.0679118097945494
"Serbia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.42111947896803,0.32394510499306,0.521001945535122,0.0505765617732777
"Seychelles","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.422549116782515,0.323187422029159,0.52725526168705,0.0526156878565103
"Sierra Leone","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.434090084921387,0.300877248804889,0.573099718925071,0.070723243665292
"Singapore","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.27140701890531,0.217324071453029,0.329275660442908,0.0284736462744319
"Slovakia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.380425338892009,0.275744518204728,0.493488216848937,0.0553227791173904
"Slovenia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.406625948621674,0.269226672366818,0.552397567454129,0.0738755839888258
"Solomon Islands","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.345464779257671,0.247833607780155,0.451034223585181,0.0525251238167645
"Somalia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.386328225846253,0.264624915255543,0.517789283421793,0.0647727260712062
"South Africa","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.443151243102007,0.367584824567872,0.516565066695585,0.0379559149006151
"South Korea","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.212075115339256,0.176527763649038,0.248556011048932,0.0183664683998175
"South Sudan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.359641149849515,0.221630906216769,0.515302019252665,0.076725611121449
"Spain","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.208046660646863,0.156678150751415,0.265237133002747,0.027408739434729
"Sri Lanka","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.364732362774824,0.267227997725549,0.474899325276673,0.0532376539438952
"Sudan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.434559881426389,0.330725646920533,0.540272590398095,0.0542199592061405
"Suriname","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.432881533962405,0.311888459259509,0.562607107774239,0.0633864248232606
"Swaziland","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.473122411790392,0.357674134712923,0.587721832391635,0.0588902008161744
"Sweden","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.246419888420555,0.184874418397605,0.314340128641782,0.0330172526718597
"Switzerland","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.174926528324718,0.1193652651049,0.24158963342902,0.0315995744377887
"Syrian Arab Republic","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.397736464467357,0.27691863324793,0.53153559762606,0.0650342018182443
"Taiwan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.20774167335377,0.140001935087892,0.287058233359771,0.0379919482698546
"Tajikistan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.42844622222501,0.353168830071535,0.503700620480643,0.0383350996526032
"Tanzania","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.353611130675265,0.258818725307093,0.455073469141757,0.0503172110019522
"Thailand","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.291783135565597,0.188454149142673,0.409520389310828,0.0568277460747621
"Timor-Leste","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.367262636192724,0.255436082451553,0.491275138138566,0.0600087747139516
"Togo","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.374703625330375,0.252443939285127,0.510076093999677,0.0662763199128219
"Tokelau","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.375134498026887,0.268412784703705,0.49303264806936,0.0574323772243067
"Tonga","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.467974955071473,0.379351936663019,0.559325613306149,0.0457087560328045
"Trinidad and Tobago","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.415951651438117,0.292444227578925,0.546198113169332,0.06486294978965
"Tunisia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.348321294208846,0.255955953251619,0.449562281027377,0.0494186164379173
"Turkey","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.343771607529249,0.273441647188763,0.417858647598784,0.0363191023206196
"Turkmenistan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.401697247628055,0.328522982382458,0.477190276624175,0.0379518648208108
"Tuvalu","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.508312723543824,0.392460067186027,0.622862511279912,0.058629329945
"Uganda","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.338990634864893,0.235998689207447,0.452532306660868,0.055569843367118
"Ukraine","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.415834943210212,0.344125214805284,0.492980904713565,0.0382274494027556
"United Arab Emirates","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.344733683827691,0.268582537277644,0.424070218844794,0.0395588512386505
"United Kingdom","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.230327015429964,0.197764207960983,0.264403927224085,0.0168384982221175
"United States of America","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.289862117172157,0.236365631223932,0.347432392645155,0.0284629691766646
"Uruguay","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.389159348184365,0.29277549804302,0.494757332077591,0.0515129818367405
"Uzbekistan","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.446336854838258,0.373390738001469,0.521704908893926,0.0377036742113064
"Vanuatu","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.417824580517518,0.284974153882245,0.556149884715256,0.069571152718142
"Venezuela","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.390839890903376,0.304866713963993,0.484758670978998,0.046189631578839
"Viet Nam","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.264333698352188,0.189235532887565,0.350540905090944,0.0412433482713452
"Yemen","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.295782983426782,0.188446978992395,0.428572450533019,0.0617100150086168
"Zambia","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.337587543554159,0.255804534691533,0.422171568735504,0.0429284477472702
"Zimbabwe","Women","Age-standardised (30-79 years)",2019,"Hypertension",0.464479013238793,0.305851312389556,0.631216028040996,0.0836025842934851
"Afghanistan","Women","Age-standardised (30-79 years)",2019,"Proportion detected/Aware among hypertension",0.659663289449418,0.519906658992804,0.785242688748407,0.0683632868648662
"Albania","Women","Age-standardised (30-79 years)",2019,"Proportion detected/Aware among hypertension",0.543973607086977,0.411354455140851,0.670368331801572,0.0667801429078054
"Algeria","Women","Age-standardised (30-79 years)",2019,"Proportion detected/Aware among hypertension",0.595763905691538,0.462963802902677,0.723215655190269,0.0670029833046871
"American Samoa","Women","Age-standardised (30-79 years)",2019,"Proportion detected/Aware among hypertension",0.505561122711523,0.323678746088482,0.68557456469498,0.0939566958650952
"Andorra","Women","Age-standardised (30-79 years)",2019,"Proportion detected/Aware among hypertension",0.684641265771631,0.446539637705098,0.872198427376794,0.109672285793044
"Angola","Women","Age-standardised (30-79 years)",2019,"Proportion detected/Aware among hypertension",0.552092354976074,0.335768974584833,0.761605693443113,0.111005441108443
