"sex","location","cause","IRadjust","CFadjust"
"Female","Armenia","istroke",0.7,0.9
"Male","Armenia","hhd",0.85,0.95
"Male","Armenia","hstroke",0.7,1
"Male","Armenia","ihd",0.7,0.75
"Male","Armenia","istroke",0.7,0.8
"Female","Australia","hhd",0.7,1
"Female","Australia","hstroke",0.75,0.7
"Female","Australia","ihd",0.75,0.7
"Female","Australia","istroke",0.8,0.7
"Male","Australia","hhd",0.7,1
"Male","Australia","hstroke",0.7,0.75
"Male","Australia","ihd",0.8,0.7
"Male","Australia","istroke",0.8,0.7
"Female","Austria","hhd",0.85,0.95
"Female","Austria","hstroke",0.75,0.7
"Female","Austria","ihd",0.7,0.7
"Female","Austria","istroke",0.75,0.7
"Male","Austria","hhd",0.9,1
"Male","Austria","hstroke",0.8,0.75
"Male","Austria","ihd",0.75,0.7
"Male","Austria","istroke",0.7,0.7
"Female","Azerbaijan","hhd",0.7,0.75
"Female","Azerbaijan","hstroke",0.7,0.85
"Female","Azerbaijan","ihd",0.7,0.8
"Female","Azerbaijan","istroke",0.75,0.7
"Male","Azerbaijan","hhd",0.7,0.75
"Male","Azerbaijan","hstroke",0.7,0.8
"Male","Azerbaijan","ihd",0.75,0.85
"Male","Azerbaijan","istroke",0.8,0.7
"Female","Bahrain","hhd",0.95,0.75
"Female","Bahrain","hstroke",0.9,0.7
"Female","Bahrain","ihd",0.8,0.7
"Female","Bahrain","istroke",0.9,0.7
"Male","Bahrain","hhd",1,0.75
"Male","Bahrain","hstroke",0.9,0.7
"Male","Bahrain","ihd",0.85,0.75
"Male","Bahrain","istroke",0.9,0.75
"Female","Bangladesh","hhd",0.8,0.7
"Female","Bangladesh","hstroke",0.7,0.9
"Female","Bangladesh","ihd",1,0.75
"Female","Bangladesh","istroke",0.7,0.75
"Male","Bangladesh","hhd",0.9,0.75
"Male","Bangladesh","hstroke",0.7,0.8
"Male","Bangladesh","ihd",1,0.7
"Male","Bangladesh","istroke",0.75,0.7
"Female","Barbados","hhd",0.9,0.9
"Female","Barbados","hstroke",0.95,0.75
"Female","Barbados","ihd",0.95,0.8
"Female","Barbados","istroke",0.95,0.7
"Male","Barbados","hhd",0.9,0.85
"Male","Barbados","hstroke",0.85,0.8
"Male","Barbados","ihd",0.95,0.75
"Male","Barbados","istroke",1,0.7
"Female","Belarus","hhd",0.7,0.7
"Female","Belarus","hstroke",0.7,0.9
"Female","Belarus","ihd",0.7,0.9
"Female","Belarus","istroke",0.7,0.75
"Male","Belarus","hhd",0.7,0.7
"Male","Belarus","hstroke",0.7,0.9
"Male","Belarus","ihd",0.7,0.9
"Male","Belarus","istroke",0.7,0.75
"Female","Belgium","hhd",0.75,0.7
"Female","Belgium","hstroke",0.7,0.85
"Female","Belgium","ihd",0.7,0.7
"Female","Belgium","istroke",0.7,0.7
"Male","Belgium","hhd",0.8,0.75
"Male","Belgium","hstroke",0.7,0.85
"Male","Belgium","ihd",0.7,0.7
"Male","Belgium","istroke",0.7,0.7
"Female","Belize","hhd",0.9,0.95
"Female","Belize","hstroke",0.8,0.75
"Female","Belize","ihd",0.85,0.7
"Female","Belize","istroke",1,0.75
"Male","Belize","hhd",0.95,1
"Male","Belize","hstroke",0.95,0.9
"Male","Belize","ihd",0.9,0.75
"Male","Belize","istroke",1,0.7
"Female","Benin","hhd",0.85,0.9
"Female","Benin","hstroke",0.85,0.85
"Female","Benin","ihd",0.9,0.9
"Female","Benin","istroke",0.95,0.75
"Male","Benin","hhd",0.95,0.9
"Male","Benin","hstroke",0.85,0.9
"Male","Benin","ihd",0.95,0.85
"Male","Benin","istroke",0.85,0.8
"Female","Bhutan","hhd",0.75,0.85
"Female","Bhutan","hstroke",0.7,0.8
"Female","Bhutan","ihd",0.8,0.9
"Female","Bhutan","istroke",0.8,0.85
"Male","Bhutan","hhd",0.8,0.9
"Male","Bhutan","hstroke",0.7,0.85
"Male","Bhutan","ihd",0.75,0.85
"Male","Bhutan","istroke",0.75,0.8
"Female","Bolivia","hhd",0.85,0.85
"Female","Bolivia","hstroke",0.85,0.85
"Female","Bolivia","ihd",0.85,0.85
"Female","Bolivia","istroke",1,0.8
"Male","Bolivia","hhd",0.95,0.75
"Male","Bolivia","hstroke",0.8,0.8
"Male","Bolivia","ihd",0.85,0.8
"Male","Bolivia","istroke",0.95,0.8
"Female","Bosnia and Herzegovina","hhd",0.7,0.9
"Female","Bosnia and Herzegovina","hstroke",0.7,0.95
"Female","Bosnia and Herzegovina","ihd",0.7,0.85
"Female","Bosnia and Herzegovina","istroke",0.7,0.85
"Male","Bosnia and Herzegovina","hhd",0.7,0.85
"Male","Bosnia and Herzegovina","hstroke",0.7,0.85
"Male","Bosnia and Herzegovina","ihd",0.7,0.9
"Male","Bosnia and Herzegovina","istroke",0.7,0.7
"Female","Botswana","hhd",0.75,0.85
"Female","Botswana","hstroke",0.8,0.75
"Female","Botswana","ihd",0.9,0.9
"Female","Botswana","istroke",0.85,0.7
"Male","Botswana","hhd",0.75,0.7
"Male","Botswana","hstroke",0.75,0.8
"Male","Botswana","ihd",0.95,0.8
"Male","Botswana","istroke",0.9,0.7
"Female","Brazil","hhd",0.75,0.75
"Female","Brazil","hstroke",0.75,0.7
"Female","Brazil","ihd",0.75,0.7
"Female","Brazil","istroke",0.9,0.7
"Male","Brazil","hhd",0.8,0.8
"Male","Brazil","hstroke",0.7,0.75
"Male","Brazil","ihd",0.8,0.75
"Male","Brazil","istroke",0.8,0.7
"Female","Brunei","hhd",0.7,0.85
"Female","Brunei","hstroke",0.7,0.8
"Female","Brunei","ihd",0.7,0.85
"Female","Brunei","istroke",0.7,0.7
"Male","Brunei","hhd",0.7,0.85
"Male","Brunei","hstroke",0.75,0.75
"Male","Brunei","ihd",0.7,0.85
"Male","Brunei","istroke",0.7,0.7
"Female","Bulgaria","hhd",0.8,0.9
"Female","Bulgaria","hstroke",0.7,1
"Female","Bulgaria","ihd",0.7,0.7
"Female","Bulgaria","istroke",0.8,0.7
"Male","Bulgaria","hhd",0.9,0.95
"Male","Bulgaria","hstroke",0.7,0.85
"Male","Bulgaria","ihd",0.75,0.7
"Male","Bulgaria","istroke",0.8,0.75
"Female","Burkina Faso","hhd",0.85,0.95
"Female","Burkina Faso","hstroke",0.85,0.9
"Female","Burkina Faso","ihd",0.9,0.9
"Female","Burkina Faso","istroke",0.9,0.7
"Male","Burkina Faso","hhd",0.95,1
"Male","Burkina Faso","hstroke",0.9,0.95
"Male","Burkina Faso","ihd",1,0.95
"Male","Burkina Faso","istroke",0.95,0.75
"Female","Burundi","hhd",0.75,0.8
"Female","Burundi","hstroke",0.8,0.95
"Female","Burundi","ihd",0.8,0.85
"Female","Burundi","istroke",0.8,0.85
"Male","Burundi","hhd",0.9,0.85
"Male","Burundi","hstroke",0.85,0.95
"Male","Burundi","ihd",0.95,0.85
"Male","Burundi","istroke",1,0.85
"Female","Cambodia","hhd",0.9,0.9
"Female","Cambodia","hstroke",0.8,0.9
"Female","Cambodia","ihd",0.9,0.9
"Female","Cambodia","istroke",0.95,0.8
"Male","Cambodia","hhd",0.95,0.9
"Male","Cambodia","hstroke",0.85,0.85
"Male","Cambodia","ihd",0.95,0.95
"Male","Cambodia","istroke",1,0.75
"Female","Cameroon","hhd",0.95,0.75
"Female","Cameroon","hstroke",0.75,0.8
"Female","Cameroon","ihd",0.85,0.85
"Female","Cameroon","istroke",0.9,0.75
"Male","Cameroon","hhd",1,0.7
"Male","Cameroon","hstroke",0.8,0.85
"Male","Cameroon","ihd",0.9,0.85
"Male","Cameroon","istroke",0.9,0.75
"Female","Canada","hhd",0.75,0.85
"Female","Canada","hstroke",0.7,0.75
"Female","Canada","ihd",0.75,0.7
"Female","Canada","istroke",0.75,0.7
"Male","Canada","hhd",0.8,0.9
"Male","Canada","hstroke",0.75,0.75
"Male","Canada","ihd",0.75,0.7
"Male","Canada","istroke",0.7,0.75
"Female","Cape Verde","hhd",0.7,0.85
"Female","Cape Verde","hstroke",0.7,1
"Female","Cape Verde","ihd",0.7,1
"Female","Cape Verde","istroke",0.7,1
"Male","Cape Verde","hhd",0.7,0.7
"Male","Cape Verde","hstroke",0.7,1
"Male","Cape Verde","ihd",0.7,1
"Male","Cape Verde","istroke",0.7,1
"Female","Central African Republic","hhd",0.75,0.9
"Female","Central African Republic","hstroke",0.8,0.85
"Female","Central African Republic","ihd",0.85,0.95
"Female","Central African Republic","istroke",0.85,0.85
"Male","Central African Republic","hhd",0.8,0.9
"Male","Central African Republic","hstroke",0.8,0.9
"Male","Central African Republic","ihd",0.85,0.95
"Male","Central African Republic","istroke",0.85,0.9
"Female","Chad","hhd",0.8,0.9
"Female","Chad","hstroke",0.75,0.9
"Female","Chad","ihd",0.85,0.95
"Female","Chad","istroke",0.75,0.9
"Male","Chad","hhd",0.95,0.8
"Male","Chad","hstroke",0.8,0.85
"Male","Chad","ihd",1,0.8
"Male","Chad","istroke",0.95,0.8
"Female","Chile","hhd",0.8,0.7
"Female","Chile","hstroke",0.75,0.75
"Female","Chile","ihd",0.75,0.7
"Female","Chile","istroke",0.7,0.7
"Male","Chile","hhd",0.85,0.75
"Male","Chile","hstroke",0.75,0.8
"Male","Chile","ihd",0.85,0.8
"Male","Chile","istroke",0.75,0.7
"Female","China","hhd",0.9,0.9
"Female","China","hstroke",0.7,1
"Female","China","ihd",0.85,0.75
"Female","China","istroke",1,0.7
"Male","China","hhd",0.9,1
"Male","China","hstroke",0.7,0.9
"Male","China","ihd",0.85,0.85
"Male","China","istroke",0.95,0.7
"Female","Colombia","hhd",0.75,0.7
"Female","Colombia","hstroke",0.7,0.7
"Female","Colombia","ihd",0.75,0.7
"Female","Colombia","istroke",0.95,0.7
"Male","Colombia","hhd",0.8,0.7
"Male","Colombia","hstroke",0.7,0.8
"Male","Colombia","ihd",0.75,0.75
"Male","Colombia","istroke",0.9,0.7
"Female","Comoros","hhd",0.8,0.8
"Female","Comoros","hstroke",0.8,0.9
"Female","Comoros","ihd",0.9,0.9
"Female","Comoros","istroke",0.95,0.9
"Male","Comoros","hhd",0.9,0.9
"Male","Comoros","hstroke",0.8,0.9
"Male","Comoros","ihd",0.9,0.85
"Male","Comoros","istroke",0.95,0.9
"Female","Congo","hhd",0.8,0.85
"Female","Congo","hstroke",0.8,0.85
"Female","Congo","ihd",0.8,0.8
"Female","Congo","istroke",0.9,0.8
"Male","Congo","hhd",0.85,0.85
"Male","Congo","hstroke",0.85,0.9
"Male","Congo","ihd",0.85,0.8
"Male","Congo","istroke",1,0.85
"Female","Costa Rica","hhd",0.75,0.75
"Female","Costa Rica","hstroke",0.95,0.8
"Female","Costa Rica","ihd",0.75,0.7
"Female","Costa Rica","istroke",1,0.85
"Male","Costa Rica","hhd",0.75,0.7
"Male","Costa Rica","hstroke",0.85,0.8
"Male","Costa Rica","ihd",0.8,0.85
"Male","Costa Rica","istroke",0.95,0.75
"Female","Cote d'Ivoire","hhd",0.75,0.9
"Female","Cote d'Ivoire","hstroke",0.7,0.9
"Female","Cote d'Ivoire","ihd",0.7,0.8
"Female","Cote d'Ivoire","istroke",0.7,0.95
"Male","Cote d'Ivoire","hhd",0.85,0.9
"Male","Cote d'Ivoire","hstroke",0.75,0.9
"Male","Cote d'Ivoire","ihd",0.75,0.75
"Male","Cote d'Ivoire","istroke",0.8,0.75
"Female","Croatia","hhd",0.8,0.8
"Female","Croatia","hstroke",0.7,1
"Female","Croatia","ihd",0.7,0.75
"Female","Croatia","istroke",0.7,0.75
"Male","Croatia","hhd",0.85,0.9
"Male","Croatia","hstroke",0.7,0.95
"Male","Croatia","ihd",0.75,0.7
"Male","Croatia","istroke",0.7,0.7
"Female","Cuba","hhd",0.9,1
"Female","Cuba","hstroke",0.7,0.75
"Female","Cuba","ihd",0.75,0.7
"Female","Cuba","istroke",0.8,0.75
"Male","Cuba","hhd",0.9,1
"Male","Cuba","hstroke",0.8,0.85
"Male","Cuba","ihd",0.75,0.75
"Male","Cuba","istroke",0.8,0.7
"Female","Cyprus","hhd",0.7,0.9
"Female","Cyprus","hstroke",0.7,0.7
"Female","Cyprus","ihd",0.7,0.7
"Female","Cyprus","istroke",0.7,0.7
"Male","Cyprus","hhd",0.7,0.8
"Male","Cyprus","hstroke",0.7,0.75
"Male","Cyprus","ihd",0.8,0.7
"Male","Cyprus","istroke",0.7,0.7
"Female","Czech Republic","hhd",0.85,1
"Female","Czech Republic","hstroke",0.7,0.7
"Female","Czech Republic","ihd",0.7,0.7
"Female","Czech Republic","istroke",0.7,0.7
"Male","Czech Republic","hhd",0.9,1
"Male","Czech Republic","hstroke",0.7,0.75
"Male","Czech Republic","ihd",0.75,0.7
"Male","Czech Republic","istroke",0.7,0.7
"Female","Democratic Republic of the Congo","hhd",0.8,0.9
"Female","Democratic Republic of the Congo","hstroke",0.8,0.9
"Female","Democratic Republic of the Congo","ihd",0.8,0.8
"Female","Democratic Republic of the Congo","istroke",0.9,0.8
"Male","Democratic Republic of the Congo","hhd",0.8,0.85
"Male","Democratic Republic of the Congo","hstroke",0.8,0.85
"Male","Democratic Republic of the Congo","ihd",0.85,0.85
"Male","Democratic Republic of the Congo","istroke",0.95,0.8
"Female","Denmark","hhd",0.75,0.8
"Female","Denmark","hstroke",0.7,0.9
"Female","Denmark","ihd",0.7,0.7
"Female","Denmark","istroke",0.7,0.85
"Male","Denmark","hhd",0.7,1
"Male","Denmark","hstroke",0.7,0.9
"Male","Denmark","ihd",0.8,0.75
"Male","Denmark","istroke",0.7,0.8
"Female","Djibouti","hhd",0.75,0.75
"Female","Djibouti","hstroke",0.8,0.8
"Female","Djibouti","ihd",0.9,0.95
"Female","Djibouti","istroke",0.9,0.85
"Male","Djibouti","hhd",0.85,0.8
"Male","Djibouti","hstroke",0.85,0.8
"Male","Djibouti","ihd",0.9,0.9
"Male","Djibouti","istroke",1,0.85
"Female","Dominican Republic","hhd",0.75,0.85
"Female","Dominican Republic","hstroke",0.85,0.85
"Female","Dominican Republic","ihd",0.75,0.9
"Female","Dominican Republic","istroke",0.85,0.8
"Male","Dominican Republic","hhd",0.85,1
"Male","Dominican Republic","hstroke",0.95,0.95
"Male","Dominican Republic","ihd",0.8,1
"Male","Dominican Republic","istroke",0.8,0.75
"Female","Ecuador","hhd",0.75,0.75
"Female","Ecuador","hstroke",0.8,0.8
"Female","Ecuador","ihd",0.75,0.7
"Female","Ecuador","istroke",0.8,0.7
"Male","Ecuador","hhd",0.8,0.8
"Male","Ecuador","hstroke",0.75,0.8
"Male","Ecuador","ihd",0.85,0.8
"Male","Ecuador","istroke",0.8,0.7
"Female","Egypt","hhd",0.75,0.8
"Female","Egypt","hstroke",0.7,0.8
"Female","Egypt","ihd",0.7,0.95
"Female","Egypt","istroke",0.75,0.85
"Male","Egypt","hhd",0.85,0.85
"Male","Egypt","hstroke",0.8,0.85
"Male","Egypt","ihd",0.75,0.85
"Male","Egypt","istroke",0.85,0.8
"Female","El Salvador","hhd",0.85,0.95
"Female","El Salvador","hstroke",0.8,0.9
"Female","El Salvador","ihd",0.75,0.85
"Female","El Salvador","istroke",0.85,0.85
"Male","El Salvador","hhd",0.85,0.8
"Male","El Salvador","hstroke",0.85,0.85
"Male","El Salvador","ihd",0.75,0.75
"Male","El Salvador","istroke",0.9,0.8
"Female","Equatorial Guinea","hhd",0.75,0.8
"Female","Equatorial Guinea","hstroke",0.8,0.8
"Female","Equatorial Guinea","ihd",0.85,0.85
"Female","Equatorial Guinea","istroke",0.85,0.75
"Male","Equatorial Guinea","hhd",0.85,0.9
"Male","Equatorial Guinea","hstroke",0.95,0.85
"Male","Equatorial Guinea","ihd",0.9,0.9
"Male","Equatorial Guinea","istroke",1,0.75
"Female","Eritrea","hhd",0.75,0.85
"Female","Eritrea","hstroke",0.8,0.95
"Female","Eritrea","ihd",0.85,1
"Female","Eritrea","istroke",0.9,0.9
"Male","Eritrea","hhd",0.75,0.8
"Male","Eritrea","hstroke",0.75,0.9
"Male","Eritrea","ihd",0.8,0.9
"Male","Eritrea","istroke",0.9,0.85
"Female","Estonia","hhd",0.9,1
"Female","Estonia","hstroke",0.7,0.75
"Female","Estonia","ihd",0.7,0.7
"Female","Estonia","istroke",0.75,0.7
"Male","Estonia","hhd",0.9,1
"Male","Estonia","hstroke",0.7,0.95
"Male","Estonia","ihd",0.75,0.7
"Male","Estonia","istroke",0.7,0.7
"Female","Ethiopia","hhd",0.7,0.7
"Female","Ethiopia","hstroke",0.7,0.95
"Female","Ethiopia","ihd",0.8,0.8
"Female","Ethiopia","istroke",0.85,0.85
"Male","Ethiopia","hhd",0.8,0.7
"Male","Ethiopia","hstroke",0.7,0.9
"Male","Ethiopia","ihd",0.85,0.75
"Male","Ethiopia","istroke",0.9,0.75
"Female","Federated States of Micronesia","hhd",0.8,0.95
"Female","Federated States of Micronesia","hstroke",0.8,1
"Female","Federated States of Micronesia","ihd",0.75,0.95
"Female","Federated States of Micronesia","istroke",0.7,0.85
"Male","Federated States of Micronesia","hhd",0.8,1
"Male","Federated States of Micronesia","hstroke",0.75,0.9
"Male","Federated States of Micronesia","ihd",0.8,1
"Male","Federated States of Micronesia","istroke",0.7,0.85
"Female","Fiji","hhd",0.75,0.85
"Female","Fiji","hstroke",0.7,0.9
"Female","Fiji","ihd",0.75,0.9
"Female","Fiji","istroke",0.75,0.85
"Male","Fiji","hhd",0.75,0.9
"Male","Fiji","hstroke",0.7,0.8
"Male","Fiji","ihd",0.7,0.9
"Male","Fiji","istroke",0.75,0.8
"Female","Finland","hhd",0.75,1
"Female","Finland","hstroke",0.7,0.95
"Female","Finland","ihd",0.7,0.7
"Female","Finland","istroke",0.7,0.75
"Male","Finland","hhd",0.95,1
"Male","Finland","hstroke",0.75,0.95
"Male","Finland","ihd",0.75,0.7
"Male","Finland","istroke",0.7,0.75
"Female","France","hhd",0.7,0.75
"Female","France","hstroke",0.7,0.85
"Female","France","ihd",0.75,0.7
"Female","France","istroke",0.7,0.7
"Male","France","hhd",0.8,0.8
"Male","France","hstroke",0.7,0.8
"Male","France","ihd",0.8,0.7
"Male","France","istroke",0.7,0.7
"Female","Gabon","hhd",0.7,0.75
"Female","Gabon","hstroke",0.7,0.8
"Female","Gabon","ihd",0.8,0.8
"Female","Gabon","istroke",0.75,0.75
"Male","Gabon","hhd",0.8,0.85
"Male","Gabon","hstroke",0.75,0.85
"Male","Gabon","ihd",0.85,0.9
"Male","Gabon","istroke",0.85,0.8
"Female","Georgia","hhd",0.8,1
"Female","Georgia","hstroke",0.7,1
"Female","Georgia","ihd",0.7,0.85
"Female","Georgia","istroke",0.75,0.75
"Male","Georgia","hhd",0.85,1
"Male","Georgia","hstroke",0.7,1
"Male","Georgia","ihd",0.7,0.75
"Male","Georgia","istroke",0.8,0.8
"Female","Germany","hhd",0.8,0.7
"Female","Germany","hstroke",0.75,0.75
"Female","Germany","ihd",0.75,0.7
"Female","Germany","istroke",0.75,0.7
"Male","Germany","hhd",0.8,0.8
"Male","Germany","hstroke",0.7,0.8
"Male","Germany","ihd",0.75,0.7
"Male","Germany","istroke",0.7,0.75
"Female","Ghana","hhd",0.8,0.85
"Female","Ghana","hstroke",0.75,0.8
"Female","Ghana","ihd",0.85,0.95
"Female","Ghana","istroke",0.9,0.85
"Male","Ghana","hhd",0.8,0.8
"Male","Ghana","hstroke",0.75,0.85
"Male","Ghana","ihd",0.95,0.85
"Male","Ghana","istroke",0.8,0.75
"Female","Greece","hhd",0.85,0.8
"Female","Greece","hstroke",0.7,1
"Female","Greece","ihd",0.7,0.7
"Female","Greece","istroke",0.7,0.95
"Male","Greece","hhd",0.95,1
"Male","Greece","hstroke",0.7,0.9
"Male","Greece","ihd",0.75,0.7
"Male","Greece","istroke",0.7,0.8
"Female","Grenada","hhd",0.85,1
"Female","Grenada","hstroke",0.8,0.95
"Female","Grenada","ihd",0.75,0.95
"Female","Grenada","istroke",0.75,0.85
"Male","Grenada","hhd",0.85,0.85
"Male","Grenada","hstroke",0.7,0.8
"Male","Grenada","ihd",0.75,0.7
"Male","Grenada","istroke",0.7,0.75
"Female","Guatemala","hhd",0.95,0.9
"Female","Guatemala","hstroke",0.95,0.85
"Female","Guatemala","ihd",0.85,0.75
"Female","Guatemala","istroke",1,0.7
"Male","Guatemala","hhd",1,1
"Male","Guatemala","hstroke",0.9,0.8
"Male","Guatemala","ihd",0.85,0.7
"Male","Guatemala","istroke",0.95,0.7
"Female","Guinea","hhd",0.8,0.9
"Female","Guinea","hstroke",0.8,0.9
"Female","Guinea","ihd",0.8,0.9
"Female","Guinea","istroke",0.75,0.8
"Male","Guinea","hhd",0.95,0.95
"Male","Guinea","hstroke",0.85,0.9
"Male","Guinea","ihd",0.9,0.85
"Male","Guinea","istroke",0.85,0.75
"Female","Guinea-Bissau","hhd",0.8,0.9
"Female","Guinea-Bissau","hstroke",0.75,0.9
"Female","Guinea-Bissau","ihd",0.8,0.95
"Female","Guinea-Bissau","istroke",0.8,0.9
"Male","Guinea-Bissau","hhd",0.85,0.85
"Male","Guinea-Bissau","hstroke",0.75,0.85
"Male","Guinea-Bissau","ihd",0.8,0.85
"Male","Guinea-Bissau","istroke",0.85,0.85
"Female","Guyana","hhd",0.8,0.9
"Female","Guyana","hstroke",0.7,0.9
"Female","Guyana","ihd",0.7,0.8
"Female","Guyana","istroke",0.7,0.95
"Male","Guyana","hhd",0.85,1
"Male","Guyana","hstroke",0.75,0.9
"Male","Guyana","ihd",0.7,0.85
"Male","Guyana","istroke",0.7,0.8
"Female","Haiti","hhd",0.95,0.8
"Female","Haiti","hstroke",1,0.9
"Female","Haiti","ihd",1,0.7
"Female","Haiti","istroke",1,0.7
"Male","Haiti","hhd",1,0.7
"Male","Haiti","hstroke",1,0.8
"Male","Haiti","ihd",1,0.7
"Male","Haiti","istroke",1,0.7
"Female","Honduras","hhd",0.95,0.9
"Female","Honduras","hstroke",0.9,0.95
"Female","Honduras","ihd",0.9,0.9
"Female","Honduras","istroke",0.95,0.85
"Male","Honduras","hhd",0.95,1
"Male","Honduras","hstroke",0.95,1
"Male","Honduras","ihd",0.9,1
"Male","Honduras","istroke",1,1
"Female","Hungary","hhd",0.85,1
"Female","Hungary","hstroke",0.7,0.8
"Female","Hungary","ihd",0.7,0.8
"Female","Hungary","istroke",0.75,0.7
"Male","Hungary","hhd",0.85,1
"Male","Hungary","hstroke",0.7,0.9
"Male","Hungary","ihd",0.7,0.75
"Male","Hungary","istroke",0.85,0.7
"Female","Iceland","hhd",1,0.8
"Female","Iceland","hstroke",0.7,0.75
"Female","Iceland","ihd",0.75,0.7
"Female","Iceland","istroke",0.7,0.7
"Male","Iceland","hhd",1,0.7
"Male","Iceland","hstroke",0.7,0.75
"Male","Iceland","ihd",0.8,0.7
"Male","Iceland","istroke",0.8,0.7
"Female","India","hhd",0.8,0.85
"Female","India","hstroke",0.85,0.75
"Female","India","ihd",0.9,0.85
"Female","India","istroke",1,0.7
"Male","India","hhd",0.85,0.8
"Male","India","hstroke",0.75,0.75
"Male","India","ihd",0.9,0.95
"Male","India","istroke",0.85,0.7
"Female","Indonesia","hhd",0.75,0.8
"Female","Indonesia","hstroke",0.7,0.85
"Female","Indonesia","ihd",0.75,0.85
"Female","Indonesia","istroke",0.75,0.75
"Male","Indonesia","hhd",0.8,0.95
"Male","Indonesia","hstroke",0.75,0.85
"Male","Indonesia","ihd",0.8,0.95
"Male","Indonesia","istroke",0.85,0.85
"Female","Iran","hhd",0.8,0.75
"Female","Iran","hstroke",0.75,0.7
"Female","Iran","ihd",0.7,0.85
"Female","Iran","istroke",0.75,0.7
"Male","Iran","hhd",0.95,0.85
"Male","Iran","hstroke",0.7,0.7
"Male","Iran","ihd",0.75,0.7
"Male","Iran","istroke",0.75,0.7
"Female","Iraq","hhd",0.8,0.7
"Female","Iraq","hstroke",0.75,0.75
"Female","Iraq","ihd",0.7,0.75
"Female","Iraq","istroke",0.85,0.8
"Male","Iraq","hhd",0.85,0.7
"Male","Iraq","hstroke",0.9,0.85
"Male","Iraq","ihd",0.75,0.8
"Male","Iraq","istroke",0.9,0.85
"Female","Ireland","hhd",0.85,0.9
"Female","Ireland","hstroke",0.85,0.8
"Female","Ireland","ihd",0.7,0.7
"Female","Ireland","istroke",0.75,0.7
"Male","Ireland","hhd",0.85,0.75
"Male","Ireland","hstroke",0.75,0.8
"Male","Ireland","ihd",0.75,0.7
"Male","Ireland","istroke",0.8,0.7
"Female","Israel","hhd",0.8,0.85
"Female","Israel","hstroke",0.7,0.8
"Female","Israel","ihd",0.85,0.7
"Female","Israel","istroke",0.7,0.7
"Male","Israel","hhd",0.95,0.9
"Male","Israel","hstroke",0.75,0.8
"Male","Israel","ihd",0.95,0.7
"Male","Israel","istroke",0.7,0.75
"Female","Italy","hhd",0.85,0.8
"Female","Italy","hstroke",0.7,0.8
"Female","Italy","ihd",0.8,0.7
"Female","Italy","istroke",0.75,0.7
"Male","Italy","hhd",0.9,0.8
"Male","Italy","hstroke",0.7,0.75
"Male","Italy","ihd",0.85,0.7
"Male","Italy","istroke",0.8,0.7
"Female","Jamaica","hhd",0.8,0.95
"Female","Jamaica","hstroke",0.95,0.95
"Female","Jamaica","ihd",0.75,0.9
"Female","Jamaica","istroke",0.8,0.8
"Male","Jamaica","hhd",0.85,1
"Male","Jamaica","hstroke",1,0.95
"Male","Jamaica","ihd",0.85,1
"Male","Jamaica","istroke",0.9,0.9
"Female","Japan","hhd",0.9,0.8
"Female","Japan","hstroke",0.85,0.7
"Female","Japan","ihd",0.8,0.7
