"wb2021","year","Scenario","x50q30"
"LIC",2028,"Progress_Antihypertensive therapy",0.282548129501159
"LIC",2028,"Progress",0.281303188542631
"LIC",2028,"Progress_Salt reduction",0.292979134688949
"LIC",2029,"Aspirational_Antihypertensive therapy",0.275323552434004
"LIC",2029,"Aspirational",0.271255486371008
"LIC",2029,"Aspirational_Salt reduction",0.287821137165386
"LIC",2029,"Business as usual",0.292589339042019
"LIC",2029,"Progress_Antihypertensive therapy",0.278154727256971
"LIC",2029,"Progress",0.276580471585193
"LIC",2029,"Progress_Salt reduction",0.290792267785176
"LIC",2030,"Aspirational_Antihypertensive therapy",0.270314312251623
"LIC",2030,"Aspirational",0.265831724029398
"LIC",2030,"Aspirational_Salt reduction",0.285889379917426
"LIC",2030,"Business as usual",0.291286611229983
"LIC",2030,"Progress_Antihypertensive therapy",0.27414893439148
"LIC",2030,"Progress",0.272238088064654
"LIC",2030,"Progress_Salt reduction",0.289054017042726
"LIC",2031,"Aspirational_Antihypertensive therapy",0.264782074923889
"LIC",2031,"Aspirational",0.260020070791615
"LIC",2031,"Aspirational_Salt reduction",0.283724353029758
"LIC",2031,"Business as usual",0.289626818943709
"LIC",2031,"Progress_Antihypertensive therapy",0.2697988039677
"LIC",2031,"Progress",0.267555434277297
"LIC",2031,"Progress_Salt reduction",0.286942795119788
"LIC",2032,"Aspirational_Antihypertensive therapy",0.259241645716163
"LIC",2032,"Aspirational",0.254298058544203
"LIC",2032,"Aspirational_Salt reduction",0.281755841983227
"LIC",2032,"Business as usual",0.28807448745542
"LIC",2032,"Progress_Antihypertensive therapy",0.265608721151705
"LIC",2032,"Progress",0.263131692745786
"LIC",2032,"Progress_Salt reduction",0.285051203691608
"LIC",2033,"Aspirational_Antihypertensive therapy",0.253780674744639
"LIC",2033,"Aspirational",0.248731433946431
"LIC",2033,"Aspirational_Salt reduction",0.279981966369969
"LIC",2033,"Business as usual",0.286646216117614
"LIC",2033,"Progress_Antihypertensive therapy",0.261646441822791
"LIC",2033,"Progress",0.258999175845987
"LIC",2033,"Progress_Salt reduction",0.283352747087313
"LIC",2034,"Aspirational_Antihypertensive therapy",0.248464281562143
"LIC",2034,"Aspirational",0.243368481228891
"LIC",2034,"Aspirational_Salt reduction",0.278384613483624
"LIC",2034,"Business as usual",0.285337307754089
"LIC",2034,"Progress_Antihypertensive therapy",0.257949298705065
"LIC",2034,"Progress",0.255176529240161
"LIC",2034,"Progress_Salt reduction",0.281823109755667
"LIC",2035,"Aspirational_Antihypertensive therapy",0.243316739808566
"LIC",2035,"Aspirational",0.238220980839286
"LIC",2035,"Aspirational_Salt reduction",0.276901744136518
"LIC",2035,"Business as usual",0.2840943391739
"LIC",2035,"Progress_Antihypertensive therapy",0.25450386788445
"LIC",2035,"Progress",0.251639045642953
"LIC",2035,"Progress_Salt reduction",0.280398176926341
"LIC",2036,"Aspirational_Antihypertensive therapy",0.238382966127538
"LIC",2036,"Aspirational",0.233321958243154
"LIC",2036,"Aspirational_Salt reduction",0.275510958299556
"LIC",2036,"Business as usual",0.282904157274392
"LIC",2036,"Progress_Antihypertensive therapy",0.25131594470442
"LIC",2036,"Progress",0.248383768485035
"LIC",2036,"Progress_Salt reduction",0.279056439197243
"LIC",2037,"Aspirational_Antihypertensive therapy",0.233715007779027
"LIC",2037,"Aspirational",0.228714255422182
"LIC",2037,"Aspirational_Salt reduction",0.274203456391079
"LIC",2037,"Business as usual",0.281764320726085
"LIC",2037,"Progress_Antihypertensive therapy",0.248394860123102
"LIC",2037,"Progress",0.24541389034205
"LIC",2037,"Progress_Salt reduction",0.277789803354503
"LIC",2038,"Aspirational_Antihypertensive therapy",0.229356158047814
"LIC",2038,"Aspirational",0.22443342820802
"LIC",2038,"Aspirational_Salt reduction",0.272975671151057
"LIC",2038,"Business as usual",0.28067660196561
"LIC",2038,"Progress_Antihypertensive therapy",0.245742687550223
"LIC",2038,"Progress",0.24272685395034
"LIC",2038,"Progress_Salt reduction",0.276595709252186
"LIC",2039,"Aspirational_Antihypertensive therapy",0.225341287229481
"LIC",2039,"Aspirational",0.220508530976804
"LIC",2039,"Aspirational_Salt reduction",0.27183041688676
"LIC",2039,"Business as usual",0.279647144590134
"LIC",2039,"Progress_Antihypertensive therapy",0.243357779883199
"LIC",2039,"Progress",0.240317791055259
"LIC",2039,"Progress_Salt reduction",0.275477309455032
"LIC",2040,"Aspirational_Antihypertensive therapy",0.221649999911501
"LIC",2040,"Aspirational",0.216915335550895
"LIC",2040,"Aspirational_Salt reduction",0.270725794204466
"LIC",2040,"Business as usual",0.278635546806054
"LIC",2040,"Progress_Antihypertensive therapy",0.241188928466537
"LIC",2040,"Progress",0.238133614193301
"LIC",2040,"Progress_Salt reduction",0.274392482166915
"LIC",2041,"Aspirational_Antihypertensive therapy",0.218250523545237
"LIC",2041,"Aspirational",0.213619044659076
"LIC",2041,"Aspirational_Salt reduction",0.26962403532827
"LIC",2041,"Business as usual",0.277605217159383
"LIC",2041,"Progress_Antihypertensive therapy",0.239182898314534
"LIC",2041,"Progress",0.236119721218012
"LIC",2041,"Progress_Salt reduction",0.273303252273979
"LIC",2042,"Aspirational_Antihypertensive therapy",0.215149878928507
"LIC",2042,"Aspirational",0.210623726966671
"LIC",2042,"Aspirational_Salt reduction",0.268550199803271
"LIC",2042,"Business as usual",0.276583674456379
"LIC",2042,"Progress_Antihypertensive therapy",0.237340652468916
"LIC",2042,"Progress",0.234275537705425
"LIC",2042,"Progress_Salt reduction",0.272235221678155
"LIC",2043,"Aspirational_Antihypertensive therapy",0.21234758023911
"LIC",2043,"Aspirational",0.207926854897797
"LIC",2043,"Aspirational_Salt reduction",0.267529274615831
"LIC",2043,"Business as usual",0.275597730758392
"LIC",2043,"Progress_Antihypertensive therapy",0.235664112412656
"LIC",2043,"Progress",0.232601940642924
"LIC",2043,"Progress_Salt reduction",0.271213795061925
"LIC",2044,"Aspirational_Antihypertensive therapy",0.209805572957698
"LIC",2044,"Aspirational",0.205488959667096
"LIC",2044,"Aspirational_Salt reduction",0.266543184759638
"LIC",2044,"Business as usual",0.274630860651746
"LIC",2044,"Progress_Antihypertensive therapy",0.234119432949609
"LIC",2044,"Progress",0.231064369325909
"LIC",2044,"Progress_Salt reduction",0.270221385549281
"LIC",2045,"Aspirational_Antihypertensive therapy",0.207457890740496
"LIC",2045,"Aspirational",0.203243518704319
"LIC",2045,"Aspirational_Salt reduction",0.26553989163242
"LIC",2045,"Business as usual",0.273631517784749
"LIC",2045,"Progress_Antihypertensive therapy",0.232644014114073
"LIC",2045,"Progress",0.229600074106739
"LIC",2045,"Progress_Salt reduction",0.269206038835255
"LIC",2046,"Aspirational_Antihypertensive therapy",0.205257201289861
"LIC",2046,"Aspirational",0.201142603371294
"LIC",2046,"Aspirational_Salt reduction",0.264492451572506
"LIC",2046,"Business as usual",0.272573731130038
"LIC",2046,"Progress_Antihypertensive therapy",0.231198673480043
"LIC",2046,"Progress",0.228169401116146
"LIC",2046,"Progress_Salt reduction",0.268140907150648
"LIC",2047,"Aspirational_Antihypertensive therapy",0.20320164033065
"LIC",2047,"Aspirational",0.199183510959174
"LIC",2047,"Aspirational_Salt reduction",0.263425864408133
"LIC",2047,"Business as usual",0.271484239319371
"LIC",2047,"Progress_Antihypertensive therapy",0.229794534446434
"LIC",2047,"Progress",0.226782713858511
"LIC",2047,"Progress_Salt reduction",0.267051491977724
"LIC",2048,"Aspirational_Antihypertensive therapy",0.201304844952461
"LIC",2048,"Aspirational",0.197379077210034
"LIC",2048,"Aspirational_Salt reduction",0.262380326447829
"LIC",2048,"Business as usual",0.270405549300021
"LIC",2048,"Progress_Antihypertensive therapy",0.228459237028486
"LIC",2048,"Progress",0.225466822394522
"LIC",2048,"Progress_Salt reduction",0.265978892814241
"LIC",2049,"Aspirational_Antihypertensive therapy",0.19956412757336
"LIC",2049,"Aspirational",0.195726049365011
"LIC",2049,"Aspirational_Salt reduction",0.261371159410793
"LIC",2049,"Business as usual",0.269355295670671
"LIC",2049,"Progress_Antihypertensive therapy",0.227200533253762
"LIC",2049,"Progress",0.224228876786018
"LIC",2049,"Progress_Salt reduction",0.264939553730223
"LIC",2050,"Aspirational_Antihypertensive therapy",0.197892368855131
"LIC",2050,"Aspirational",0.194137824583918
"LIC",2050,"Aspirational_Salt reduction",0.260302620785954
"LIC",2050,"Business as usual",0.268238235323198
"LIC",2050,"Progress_Antihypertensive therapy",0.225931306202419
"LIC",2050,"Progress",0.222981882009111
"LIC",2050,"Progress_Salt reduction",0.263838080164233
"LMIC",2019,"Aspirational_Antihypertensive therapy",0.276203812946081
"LMIC",2019,"Aspirational",0.276203812946081
"LMIC",2019,"Aspirational_Salt reduction",0.276203812946081
"LMIC",2019,"Business as usual",0.276203812946081
"LMIC",2019,"Progress_Antihypertensive therapy",0.276203812946081
"LMIC",2019,"Progress",0.276203812946081
"LMIC",2019,"Progress_Salt reduction",0.276203812946081
"LMIC",2020,"Aspirational_Antihypertensive therapy",0.274426606757993
"LMIC",2020,"Aspirational",0.274426606757993
"LMIC",2020,"Aspirational_Salt reduction",0.274426606757993
"LMIC",2020,"Business as usual",0.274426606757993
"LMIC",2020,"Progress_Antihypertensive therapy",0.274426606757993
"LMIC",2020,"Progress",0.274426606757993
"LMIC",2020,"Progress_Salt reduction",0.274426606757993
"LMIC",2021,"Aspirational_Antihypertensive therapy",0.272232065163334
"LMIC",2021,"Aspirational",0.272232065163334
"LMIC",2021,"Aspirational_Salt reduction",0.272232065163334
"LMIC",2021,"Business as usual",0.272232065163334
"LMIC",2021,"Progress_Antihypertensive therapy",0.272232065163334
"LMIC",2021,"Progress",0.272232065163334
"LMIC",2021,"Progress_Salt reduction",0.272232065163334
"LMIC",2022,"Aspirational_Antihypertensive therapy",0.270307721076062
"LMIC",2022,"Aspirational",0.270307721076062
"LMIC",2022,"Aspirational_Salt reduction",0.270307721076062
"LMIC",2022,"Business as usual",0.270307721076062
"LMIC",2022,"Progress_Antihypertensive therapy",0.270307721076062
"LMIC",2022,"Progress",0.270307721076062
"LMIC",2022,"Progress_Salt reduction",0.270307721076062
"LMIC",2023,"Aspirational_Antihypertensive therapy",0.26698431446784
"LMIC",2023,"Aspirational",0.26698431446784
"LMIC",2023,"Aspirational_Salt reduction",0.268419079074001
"LMIC",2023,"Business as usual",0.268419079074001
"LMIC",2023,"Progress_Antihypertensive therapy",0.267079713369619
"LMIC",2023,"Progress",0.267079713369619
"LMIC",2023,"Progress_Salt reduction",0.268419079074001
"LMIC",2024,"Aspirational_Antihypertensive therapy",0.263672188660498
"LMIC",2024,"Aspirational",0.263254969924761
"LMIC",2024,"Aspirational_Salt reduction",0.266383694318129
"LMIC",2024,"Business as usual",0.266814376356099
"LMIC",2024,"Progress_Antihypertensive therapy",0.263931123912286
"LMIC",2024,"Progress",0.263798803354984
"LMIC",2024,"Progress_Salt reduction",0.2666781056577
"LMIC",2025,"Aspirational_Antihypertensive therapy",0.26060683149171
"LMIC",2025,"Aspirational",0.259511415989868
"LMIC",2025,"Aspirational_Salt reduction",0.264601742093531
"LMIC",2025,"Business as usual",0.265756807539809
"LMIC",2025,"Progress_Antihypertensive therapy",0.261120770196469
"LMIC",2025,"Progress",0.260771375035492
"LMIC",2025,"Progress_Salt reduction",0.265390083164838
"LMIC",2026,"Aspirational_Antihypertensive therapy",0.256614652485373
"LMIC",2026,"Aspirational",0.254672181008592
"LMIC",2026,"Aspirational_Salt reduction",0.261965453390904
"LMIC",2026,"Business as usual",0.264062628214396
"LMIC",2026,"Progress_Antihypertensive therapy",0.257497873659326
